Month,DaysInMonth,OccNights,Occ%
2015-02,28,14,50.0
2015-03,31,8,25.8
2015-04,30,4,13.3
2015-06,30,13,43.3
2015-07,31,20,64.5
2015-08,31,4,12.9
2015-09,30,3,10.0
2015-10,31,9,29.0
2015-11,30,3,10.0
2015-12,31,8,25.8
2016-01,31,7,22.6
2016-02,29,9,31.0
2016-03,31,5,16.1
2016-04,30,7,23.3
2016-05,31,14,45.2
2016-06,30,12,40.0
2016-07,31,14,45.2
2016-08,31,6,19.4
2016-09,30,14,46.7
2016-10,31,11,35.5
2016-11,30,3,10.0
2016-12,31,9,29.0
2017-01,31,3,9.7
2017-02,28,12,42.9
2017-03,31,18,58.1
2017-04,30,22,73.3
2017-05,31,14,45.2
2017-06,30,17,56.7
2017-07,31,16,51.6
2017-08,31,22,71.0
2017-09,30,16,53.3
2017-10,31,16,51.6
2017-11,30,7,23.3
2017-12,31,12,38.7
2018-01,31,17,54.8
2018-02,28,20,71.4
2018-03,31,13,41.9
2018-04,30,2,6.7
2018-05,31,18,58.1
2018-06,30,23,76.7
2018-07,31,24,77.4
2018-08,31,22,71.0
2018-09,30,28,93.3
2018-10,31,20,64.5
2018-11,30,13,43.3
2018-12,31,15,48.4
2019-01,31,14,45.2
2019-02,28,10,35.7
2019-03,31,14,45.2
2019-04,30,9,30.0
2019-05,31,15,48.4
2019-06,30,24,80.0
2019-07,31,16,51.6
2019-08,31,12,38.7
2019-09,30,18,60.0
2019-10,31,19,61.3
2019-11,30,11,36.7
2019-12,31,20,64.5
2020-01,31,19,61.3
2020-02,29,13,44.8
2020-03,31,17,54.8
2020-04,30,26,86.7
2020-05,31,16,51.6
2020-06,30,16,53.3
2020-07,31,22,71.0
2020-08,31,30,96.8
2020-09,30,18,60.0
2020-10,31,17,54.8
2020-11,30,4,13.3
2020-12,31,5,16.1
2021-01,31,18,58.1
2021-02,28,16,57.1
2021-03,31,17,54.8
2021-04,30,14,46.7
2021-05,31,19,61.3
2021-06,30,12,40.0
2021-07,31,22,71.0
2021-08,31,24,77.4
2021-09,30,15,50.0
2021-10,31,14,45.2
2021-11,30,15,50.0
2021-12,31,14,45.2
2022-01,31,15,48.4
2022-02,28,8,28.6
2022-03,31,6,19.4
2022-04,30,18,60.0
2022-05,31,15,48.4
2022-06,30,13,43.3
2022-07,31,25,80.6
2022-08,31,23,74.2
2022-09,30,15,50.0
2022-10,31,12,38.7
2022-11,30,19,63.3
2022-12,31,13,41.9
2023-01,31,21,67.7
2023-02,28,14,50.0
2023-03,31,16,51.6
2023-04,30,14,46.7
2023-05,31,15,48.4
2023-06,30,16,53.3
2023-07,31,23,74.2
2023-08,31,17,54.8
2023-09,30,17,56.7
2023-10,31,16,51.6
2023-11,30,9,30.0
2023-12,31,13,41.9
2024-01,31,17,54.8
2024-02,29,7,24.1
2024-03,31,7,22.6
2024-04,30,15,50.0
2024-05,31,11,35.5
2024-06,30,11,36.7
2024-07,31,21,67.7
2024-08,31,24,77.4
2024-09,30,16,53.3
2024-10,31,8,25.8
2024-11,30,15,50.0
2024-12,31,5,16.1
2025-01,31,6,19.4
2025-02,28,15,53.6
2025-03,31,11,35.5
2025-04,30,6,20.0
2025-05,31,7,22.6
2025-06,30,15,50.0
2025-07,31,21,67.7
2025-08,31,22,71.0
2025-09,30,7,23.3
2025-10,31,15,48.4
2025-11,30,9,30.0
2025-12,31,8,25.8
2026-01,31,4,12.9
2026-02,28,8,28.6
2026-03,31,5,16.1
2026-04,30,3,10.0
2026-05,31,10,32.3
2026-06,30,16,53.3
2026-07,10,6,60.0
