week_start,occ_nights,occ_pct
2015-02-09,4,57.14
2015-02-16,5,71.43
2015-02-23,5,71.43
2015-03-02,7,100.0
2015-03-09,0,0.0
2015-03-16,0,0.0
2015-03-23,0,0.0
2015-03-30,5,71.43
2015-04-06,0,0.0
2015-04-13,0,0.0
2015-04-20,0,0.0
2015-04-27,0,0.0
2015-05-04,0,0.0
2015-05-11,0,0.0
2015-05-18,0,0.0
2015-05-25,0,0.0
2015-06-01,0,0.0
2015-06-08,0,0.0
2015-06-15,7,100.0
2015-06-22,6,85.71
2015-06-29,1,14.29
2015-07-06,0,0.0
2015-07-13,7,100.0
2015-07-20,7,100.0
2015-07-27,7,100.0
2015-08-03,0,0.0
2015-08-10,0,0.0
2015-08-17,0,0.0
2015-08-24,2,28.57
2015-08-31,0,0.0
2015-09-07,1,14.29
2015-09-14,2,28.57
2015-09-21,0,0.0
2015-09-28,0,0.0
2015-10-05,0,0.0
2015-10-12,3,42.86
2015-10-19,0,0.0
2015-10-26,7,100.0
2015-11-02,2,28.57
2015-11-09,0,0.0
2015-11-16,0,0.0
2015-11-23,0,0.0
2015-11-30,0,0.0
2015-12-07,0,0.0
2015-12-14,4,57.14
2015-12-21,1,14.29
2015-12-28,6,85.71
2016-01-04,0,0.0
2016-01-11,2,28.57
2016-01-18,2,28.57
2016-01-25,0,0.0
2016-02-01,3,42.86
2016-02-08,0,0.0
2016-02-15,6,85.71
2016-02-22,0,0.0
2016-02-29,1,14.29
2016-03-07,1,14.29
2016-03-14,0,0.0
2016-03-21,3,42.86
2016-03-28,0,0.0
2016-04-04,0,0.0
2016-04-11,0,0.0
2016-04-18,6,85.71
2016-04-25,1,14.29
2016-05-02,1,14.29
2016-05-09,3,42.86
2016-05-16,3,42.86
2016-05-23,6,85.71
2016-05-30,3,42.86
2016-06-06,3,42.86
2016-06-13,3,42.86
2016-06-20,4,57.14
2016-06-27,0,0.0
2016-07-04,3,42.86
2016-07-11,4,57.14
2016-07-18,4,57.14
2016-07-25,3,42.86
2016-08-01,0,0.0
2016-08-08,1,14.29
2016-08-15,2,28.57
2016-08-22,3,42.86
2016-08-29,0,0.0
2016-09-05,1,14.29
2016-09-12,4,57.14
2016-09-19,7,100.0
2016-09-26,2,28.57
2016-10-03,3,42.86
2016-10-10,3,42.86
2016-10-17,1,14.29
2016-10-24,4,57.14
2016-10-31,0,0.0
2016-11-07,1,14.29
2016-11-14,1,14.29
2016-11-21,1,14.29
2016-11-28,2,28.57
2016-12-05,0,0.0
2016-12-12,3,42.86
2016-12-19,3,42.86
2016-12-26,1,14.29
2017-01-02,0,0.0
2017-01-09,0,0.0
2017-01-16,0,0.0
2017-01-23,1,14.29
2017-01-30,3,42.86
2017-02-06,1,14.29
2017-02-13,5,71.43
2017-02-20,4,57.14
2017-02-27,2,28.57
2017-03-06,4,57.14
2017-03-13,4,57.14
2017-03-20,4,57.14
2017-03-27,7,100.0
2017-04-03,7,100.0
2017-04-10,6,85.71
2017-04-17,1,14.29
2017-04-24,6,85.71
2017-05-01,2,28.57
2017-05-08,1,14.29
2017-05-15,3,42.86
2017-05-22,6,85.71
2017-05-29,4,57.14
2017-06-05,4,57.14
2017-06-12,5,71.43
2017-06-19,4,57.14
2017-06-26,3,42.86
2017-07-03,5,71.43
2017-07-10,3,42.86
2017-07-17,3,42.86
2017-07-24,4,57.14
2017-07-31,3,42.86
2017-08-07,7,100.0
2017-08-14,6,85.71
2017-08-21,4,57.14
2017-08-28,5,71.43
2017-09-04,5,71.43
2017-09-11,3,42.86
2017-09-18,3,42.86
2017-09-25,2,28.57
2017-10-02,5,71.43
2017-10-09,5,71.43
2017-10-16,2,28.57
2017-10-23,3,42.86
2017-10-30,1,14.29
2017-11-06,2,28.57
2017-11-13,4,57.14
2017-11-20,1,14.29
2017-11-27,0,0.0
2017-12-04,1,14.29
2017-12-11,2,28.57
2017-12-18,3,42.86
2017-12-25,6,85.71
2018-01-01,3,42.86
2018-01-08,5,71.43
2018-01-15,5,71.43
2018-01-22,1,14.29
2018-01-29,7,100.0
2018-02-05,7,100.0
2018-02-12,5,71.43
2018-02-19,2,28.57
2018-02-26,3,42.86
2018-03-05,3,42.86
2018-03-12,2,28.57
2018-03-19,3,42.86
2018-03-26,4,57.14
2018-04-02,0,0.0
2018-04-09,0,0.0
2018-04-16,1,14.29
2018-04-23,1,14.29
2018-04-30,1,14.29
2018-05-07,1,14.29
2018-05-14,5,71.43
2018-05-21,7,100.0
2018-05-28,7,100.0
2018-06-04,5,71.43
2018-06-11,6,85.71
2018-06-18,7,100.0
2018-06-25,2,28.57
2018-07-02,5,71.43
2018-07-09,5,71.43
2018-07-16,7,100.0
2018-07-23,7,100.0
2018-07-30,5,71.43
2018-08-06,6,85.71
2018-08-13,4,57.14
2018-08-20,2,28.57
2018-08-27,7,100.0
2018-09-03,7,100.0
2018-09-10,7,100.0
2018-09-17,6,85.71
2018-09-24,6,85.71
2018-10-01,5,71.43
2018-10-08,0,0.0
2018-10-15,5,71.43
2018-10-22,7,100.0
2018-10-29,6,85.71
2018-11-05,5,71.43
2018-11-12,3,42.86
2018-11-19,1,14.29
2018-11-26,2,28.57
2018-12-03,2,28.57
2018-12-10,2,28.57
2018-12-17,2,28.57
2018-12-24,7,100.0
2018-12-31,7,100.0
2019-01-07,4,57.14
2019-01-14,2,28.57
2019-01-21,2,28.57
2019-01-28,2,28.57
2019-02-04,3,42.86
2019-02-11,3,42.86
2019-02-18,2,28.57
2019-02-25,2,28.57
2019-03-04,3,42.86
2019-03-11,4,57.14
2019-03-18,3,42.86
2019-03-25,2,28.57
2019-04-01,2,28.57
2019-04-08,3,42.86
2019-04-15,2,28.57
2019-04-22,2,28.57
2019-04-29,0,0.0
2019-05-06,1,14.29
2019-05-13,3,42.86
2019-05-20,6,85.71
2019-05-27,6,85.71
2019-06-03,7,100.0
2019-06-10,6,85.71
2019-06-17,6,85.71
2019-06-24,4,57.14
2019-07-01,6,85.71
2019-07-08,3,42.86
2019-07-15,4,57.14
2019-07-22,3,42.86
2019-07-29,0,0.0
2019-08-05,2,28.57
2019-08-12,5,71.43
2019-08-19,3,42.86
2019-08-26,3,42.86
2019-09-02,2,28.57
2019-09-09,4,57.14
2019-09-16,4,57.14
2019-09-23,6,85.71
2019-09-30,6,85.71
2019-10-07,2,28.57
2019-10-14,4,57.14
2019-10-21,7,100.0
2019-10-28,3,42.86
2019-11-04,4,57.14
2019-11-11,1,14.29
2019-11-18,2,28.57
2019-11-25,3,42.86
2019-12-02,6,85.71
2019-12-09,6,85.71
2019-12-16,1,14.29
2019-12-23,4,57.14
2019-12-30,6,85.71
2020-01-06,2,28.57
2020-01-13,4,57.14
2020-01-20,5,71.43
2020-01-27,6,85.71
2020-02-03,2,28.57
2020-02-10,6,85.71
2020-02-17,1,14.29
2020-02-24,2,28.57
2020-03-02,2,28.57
2020-03-09,3,42.86
2020-03-16,3,42.86
2020-03-23,7,100.0
2020-03-30,7,100.0
2020-04-06,7,100.0
2020-04-13,7,100.0
2020-04-20,7,100.0
2020-04-27,0,0.0
2020-05-04,0,0.0
2020-05-11,4,57.14
2020-05-18,5,71.43
2020-05-25,7,100.0
2020-06-01,4,57.14
2020-06-08,2,28.57
2020-06-15,5,71.43
2020-06-22,3,42.86
2020-06-29,6,85.71
2020-07-06,3,42.86
2020-07-13,6,85.71
2020-07-20,4,57.14
2020-07-27,7,100.0
2020-08-03,6,85.71
2020-08-10,7,100.0
2020-08-17,7,100.0
2020-08-24,7,100.0
2020-08-31,2,28.57
2020-09-07,6,85.71
2020-09-14,3,42.86
2020-09-21,6,85.71
2020-09-28,4,57.14
2020-10-05,3,42.86
2020-10-12,2,28.57
2020-10-19,6,85.71
2020-10-26,4,57.14
2020-11-02,2,28.57
2020-11-09,2,28.57
2020-11-16,0,0.0
2020-11-23,0,0.0
2020-11-30,2,28.57
2020-12-07,1,14.29
2020-12-14,1,14.29
2020-12-21,1,14.29
2020-12-28,0,0.0
2021-01-04,5,71.43
2021-01-11,4,57.14
2021-01-18,4,57.14
2021-01-25,5,71.43
2021-02-01,3,42.86
2021-02-08,4,57.14
2021-02-15,7,100.0
2021-02-22,2,28.57
2021-03-01,5,71.43
2021-03-08,4,57.14
2021-03-15,7,100.0
2021-03-22,1,14.29
2021-03-29,2,28.57
2021-04-05,0,0.0
2021-04-12,4,57.14
2021-04-19,3,42.86
2021-04-26,7,100.0
2021-05-03,7,100.0
2021-05-10,5,71.43
2021-05-17,1,14.29
2021-05-24,3,42.86
2021-05-31,7,100.0
2021-06-07,3,42.86
2021-06-14,2,28.57
2021-06-21,1,14.29
2021-06-28,3,42.86
2021-07-05,5,71.43
2021-07-12,7,100.0
2021-07-19,4,57.14
2021-07-26,4,57.14
2021-08-02,5,71.43
2021-08-09,6,85.71
2021-08-16,6,85.71
2021-08-23,6,85.71
2021-08-30,2,28.57
2021-09-06,3,42.86
2021-09-13,5,71.43
2021-09-20,3,42.86
2021-09-27,2,28.57
2021-10-04,4,57.14
2021-10-11,5,71.43
2021-10-18,3,42.86
2021-10-25,2,28.57
2021-11-01,5,71.43
2021-11-08,3,42.86
2021-11-15,3,42.86
2021-11-22,4,57.14
2021-11-29,2,28.57
2021-12-06,4,57.14
2021-12-13,3,42.86
2021-12-20,4,57.14
2021-12-27,1,14.29
2022-01-03,4,57.14
2022-01-10,5,71.43
2022-01-17,3,42.86
2022-01-24,3,42.86
2022-01-31,1,14.29
2022-02-07,4,57.14
2022-02-14,3,42.86
2022-02-21,0,0.0
2022-02-28,1,14.29
2022-03-07,1,14.29
2022-03-14,2,28.57
2022-03-21,2,28.57
2022-03-28,2,28.57
2022-04-04,2,28.57
2022-04-11,3,42.86
2022-04-18,5,71.43
2022-04-25,7,100.0
2022-05-02,4,57.14
2022-05-09,3,42.86
2022-05-16,4,57.14
2022-05-23,2,28.57
2022-05-30,3,42.86
2022-06-06,3,42.86
2022-06-13,3,42.86
2022-06-20,4,57.14
2022-06-27,4,57.14
2022-07-04,7,100.0
2022-07-11,4,57.14
2022-07-18,5,71.43
2022-07-25,6,85.71
2022-08-01,6,85.71
2022-08-08,6,85.71
2022-08-15,6,85.71
2022-08-22,4,57.14
2022-08-29,2,28.57
2022-09-05,4,57.14
2022-09-12,2,28.57
2022-09-19,6,85.71
2022-09-26,4,57.14
2022-10-03,1,14.29
2022-10-10,0,0.0
2022-10-17,6,85.71
2022-10-24,2,28.57
2022-10-31,4,57.14
2022-11-07,7,100.0
2022-11-14,4,57.14
2022-11-21,5,71.43
2022-11-28,2,28.57
2022-12-05,2,28.57
2022-12-12,2,28.57
2022-12-19,6,85.71
2022-12-26,1,14.29
2023-01-02,3,42.86
2023-01-09,5,71.43
2023-01-16,5,71.43
2023-01-23,6,85.71
2023-01-30,6,85.71
2023-02-06,2,28.57
2023-02-13,4,57.14
2023-02-20,2,28.57
2023-02-27,7,100.0
2023-03-06,6,85.71
2023-03-13,2,28.57
2023-03-20,3,42.86
2023-03-27,1,14.29
2023-04-03,3,42.86
2023-04-10,1,14.29
2023-04-17,2,28.57
2023-04-24,7,100.0
2023-05-01,4,57.14
2023-05-08,2,28.57
2023-05-15,4,57.14
2023-05-22,3,42.86
2023-05-29,3,42.86
2023-06-05,3,42.86
2023-06-12,5,71.43
2023-06-19,6,85.71
2023-06-26,3,42.86
2023-07-03,2,28.57
2023-07-10,5,71.43
2023-07-17,7,100.0
2023-07-24,7,100.0
2023-07-31,2,28.57
2023-08-07,6,85.71
2023-08-14,4,57.14
2023-08-21,5,71.43
2023-08-28,2,28.57
2023-09-04,2,28.57
2023-09-11,7,100.0
2023-09-18,3,42.86
2023-09-25,3,42.86
2023-10-02,3,42.86
2023-10-09,3,42.86
2023-10-16,3,42.86
2023-10-23,5,71.43
2023-10-30,6,85.71
2023-11-06,1,14.29
2023-11-13,0,0.0
2023-11-20,3,42.86
2023-11-27,4,57.14
2023-12-04,1,14.29
2023-12-11,1,14.29
2023-12-18,1,14.29
2023-12-25,7,100.0
2024-01-01,7,100.0
2024-01-08,5,71.43
2024-01-15,1,14.29
2024-01-22,4,57.14
2024-01-29,1,14.29
2024-02-05,1,14.29
2024-02-12,2,28.57
2024-02-19,2,28.57
2024-02-26,2,28.57
2024-03-04,1,14.29
2024-03-11,3,42.86
2024-03-18,0,0.0
2024-03-25,2,28.57
2024-04-01,3,42.86
2024-04-08,5,71.43
2024-04-15,2,28.57
2024-04-22,4,57.14
2024-04-29,3,42.86
2024-05-06,4,57.14
2024-05-13,0,0.0
2024-05-20,2,28.57
2024-05-27,3,42.86
2024-06-03,2,28.57
2024-06-10,2,28.57
2024-06-17,4,57.14
2024-06-24,3,42.86
2024-07-01,4,57.14
2024-07-08,4,57.14
2024-07-15,6,85.71
2024-07-22,4,57.14
2024-07-29,7,100.0
2024-08-05,7,100.0
2024-08-12,6,85.71
2024-08-19,5,71.43
2024-08-26,2,28.57
2024-09-02,2,28.57
2024-09-09,6,85.71
2024-09-16,6,85.71
2024-09-23,2,28.57
2024-09-30,2,28.57
2024-10-07,4,57.14
2024-10-14,1,14.29
2024-10-21,1,14.29
2024-10-28,1,14.29
2024-11-04,7,100.0
2024-11-11,4,57.14
2024-11-18,3,42.86
2024-11-25,0,0.0
2024-12-02,0,0.0
2024-12-09,1,14.29
2024-12-16,1,14.29
2024-12-23,3,42.86
2024-12-30,0,0.0
2025-01-06,0,0.0
2025-01-13,1,14.29
2025-01-20,5,71.43
2025-01-27,2,28.57
2025-02-03,3,42.86
2025-02-10,4,57.14
2025-02-17,4,57.14
2025-02-24,3,42.86
2025-03-03,1,14.29
2025-03-10,2,28.57
2025-03-17,4,57.14
2025-03-24,3,42.86
2025-03-31,1,14.29
2025-04-07,2,28.57
2025-04-14,1,14.29
2025-04-21,2,28.57
2025-04-28,1,14.29
2025-05-05,1,14.29
2025-05-12,2,28.57
2025-05-19,1,14.29
2025-05-26,3,42.86
2025-06-02,2,28.57
2025-06-09,5,71.43
2025-06-16,5,71.43
2025-06-23,1,14.29
2025-06-30,5,71.43
2025-07-07,6,85.71
2025-07-14,5,71.43
2025-07-21,4,57.14
2025-07-28,4,57.14
2025-08-04,3,42.86
